order,image_file,show_at,duration_sec,script_line
201,7:22.png,7:22,3,A customer kept by discovered friction isn't saved.
202,7:25.png,7:25,1,That's churn deferred.
203,7:26.png,7:26,2,With interest.
204,7:28.png,7:28,1,They come back angrier.
205,7:29.png,7:29,1,Louder.
206,7:29b.png,7:30,1,And with an audience.
207,7:31.png,7:31,3,Somewhere this week you'll hit another 30 second sign up.
208,7:34.png,7:34,3,This time spend one extra minute first.
209,7:37.png,7:37,1,Look at the door you'd leave through.
210,7:38.png,7:38,3,It will tell you more than the sales page ever will.
211,7:41.png,7:41,1,Next episode.
212,7:42.png,7:42,3,The countdown timer that's lying to you.
213,7:45.png,7:45,2,Only two rooms left at this price.
214,7:47.png,7:47,2,The deal ends at midnight.
215,7:49.png,7:49,3,And the end of quarter discount that somehow exists every quarter.
216,7:52.png,7:52,4,Manufactured scarcity from booking sites to enterprise sales.
217,7:56.png,7:56,2,Principle number two lives in that one.
218,7:58.png,7:58,3,Subscribe if you're collecting the set.
219,8:01.png,8:01,4,Drop the worst cancellation flow you've ever fought in the comments.
220,8:05.png,8:05,4,The most painful one gets a full teardown in a future episode.
